Source,Target,Type,Label
Samidoun palestinian prisoner solidarity network,October 5 at 10 am pdt,Directed,Organized by
Samidoun palestinian prisoner solidarity network,Zoom,Directed,Register to join on
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Democratic and progressive forces,Directed,Calls upon
Samidoun palestinian prisoner solidarity network,Global campaign to return to palestine,Directed,Is joining with
Samidoun palestinian prisoner solidarity network,Mustapha awad,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Release of juani rishmawi,Directed,Welcomes and rejoices at
Samidoun palestinian prisoner solidarity network,Palestine action,Directed,Congratulates
Samidoun palestinian prisoner solidarity network,Outrage,Directed,Expresses
Samidoun palestinian prisoner solidarity network,Dozens of anti-racist and human rights groups,Directed,Joined
Samidoun palestinian prisoner solidarity network,Dozens of anti-racist and human rights groups,Directed,Joined
Samidoun palestinian prisoner solidarity network,Organization,Directed,Is
Samidoun palestinian prisoner solidarity network,Mohammed khatib,Directed,Europe coordinator
Samidoun palestinian prisoner solidarity network,Event,Directed,Spoke at
Samidoun palestinian prisoner solidarity network,Panel,Directed,Participating in
Samidoun palestinian prisoner solidarity network,Statement,Directed,Is a signatory of
Samidoun palestinian prisoner solidarity network,Protest,Directed,Endorsed
Samidoun palestinian prisoner solidarity network,Müslüm elma and his comrades,Directed,Stands in solidarity with
Samidoun palestinian prisoner solidarity network,Demonstration,Directed,Participated in
Samidoun palestinian prisoner solidarity network,Demonstration,Directed,Joined
Samidoun palestinian prisoner solidarity network,Call,Directed,Is republishing
Samidoun palestinian prisoner solidarity network,Solidarity,Directed,Expresses
Samidoun palestinian prisoner solidarity network,Martyrs of the palestinian people,Directed,Salutes in memory
Samidoun palestinian prisoner solidarity network,Martyrs of palestinian people,Directed,Salutes in memory of
Samidoun palestinian prisoner solidarity network,Call,Directed,Is sharing
Samidoun palestinian prisoner solidarity network,Global campaign to return to palestine,Directed,Is joining with
Samidoun palestinian prisoner solidarity network,Working for the freedom of palestinian prisoners,Directed,Is involved in
Samidoun palestinian prisoner solidarity network,A joint campaign for audio messages expressing support and solidarity with palestinian prisoners,Directed,Is coming together in
Samidoun palestinian prisoner solidarity network,Supporters of justice in palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Statement,Directed,Supports
Samidoun palestinian prisoner solidarity network,Palestinian writer khaled barakat,Directed,Organized by
Samidoun palestinian prisoner solidarity network,Basil farraj,Directed,Organized by
Samidoun palestinian prisoner solidarity network,12 pm pacific/3 pm eastern/9 pm central europe/10 pm palestine,Directed,Organized by
Samidoun palestinian prisoner solidarity network,Call to action,Directed,Is distributing
Samidoun palestinian prisoner solidarity network,A campaign,Directed,Is
Samidoun palestinian prisoner solidarity network,Campaign,Directed,Is
Samidoun palestinian prisoner solidarity network,Organizer,Directed,Is
Samidoun palestinian prisoner solidarity network,Palestinian refugees in lebanon,Directed,Expresses solidarity with
Samidoun palestinian prisoner solidarity network,Related to,Directed,Is
Samidoun palestinian prisoner solidarity network,Canadian bds coalition,Directed,Joined with
Samidoun palestinian prisoner solidarity network,Canada palestine association,Directed,Joined with
Samidoun palestinian prisoner solidarity network,Initiators of conference,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Joining them in struggle,Directed,Look forward to
Samidoun palestinian prisoner solidarity network,Call,Directed,Joins
Samidoun palestinian prisoner solidarity network,Supporters of palestinian liberation,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestinian women in the liberation struggle,Directed,Will host
Samidoun palestinian prisoner solidarity network,Palestine delegation,Directed,Coordinated by
Samidoun palestinian prisoner solidarity network,Assassination,Directed,Condemns
Samidoun palestinian prisoner solidarity network,Urgency,Directed,Emphasizes
Samidoun palestinian prisoner solidarity network,Solidarity,Directed,Focuses on
Samidoun palestinian prisoner solidarity network,Salutes,Directed,Sends
Samidoun palestinian prisoner solidarity network,Dr. issam hijjawi bassalat and irish republicans,Directed,Stands in solidarity with
Samidoun palestinian prisoner solidarity network,Hunger strike,Directed,Supports
Samidoun palestinian prisoner solidarity network,Ny4palestine,Directed,Is a member organization of
Samidoun palestinian prisoner solidarity network,Samidoun ny/nj,Directed,Organized by
Samidoun palestinian prisoner solidarity network,Fight racism! fight imperialism!,Directed,Organized by
Samidoun palestinian prisoner solidarity network,Organization,Directed,Is
Samidoun palestinian prisoner solidarity network,Endorsements,Directed,Welcomes
Samidoun palestinian prisoner solidarity network,Jafar ezzedine,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Ahmad zahran,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Report,Directed,Received
Samidoun palestinian prisoner solidarity network,Student organizations,Directed,Urges
Samidoun palestinian prisoner solidarity network,The urgency of a global response to covid-19,Directed,Emphasizes
Samidoun palestinian prisoner solidarity network,Support,Directed,Expresses
Samidoun palestinian prisoner solidarity network,Campaigns,Directed,Build
Samidoun palestinian prisoner solidarity network,Organizers,Directed,Joins with
Samidoun palestinian prisoner solidarity network,Organizers,Directed,Joins with
Samidoun palestinian prisoner solidarity network,Voices,Directed,Raises
Samidoun palestinian prisoner solidarity network,Words,Directed,Raises
Samidoun palestinian prisoner solidarity network,Anhar al-deek's immediate release,Directed,Demands
Samidoun palestinian prisoner solidarity network,Supporters,Directed,Urges
Samidoun palestinian prisoner solidarity network,Justice,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Campaign,Directed,Urges
Samidoun palestinian prisoner solidarity network,#saveanhar,Directed,Urges
Samidoun palestinian prisoner solidarity network,Child,Directed,Urges
Samidoun palestinian prisoner solidarity network,Action,Directed,Urges
Samidoun palestinian prisoner solidarity network,Stand,Directed,Urges
Samidoun palestinian prisoner solidarity network,Anhar al-deek,Directed,Urges
Samidoun palestinian prisoner solidarity network,Freedom,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestinian women,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestinian children,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,River,Directed,Urges
Samidoun palestinian prisoner solidarity network,Sea,Directed,Urges
Samidoun palestinian prisoner solidarity network,Social media campaign,Directed,Joins
Samidoun palestinian prisoner solidarity network,Thousands of people,Directed,Joins
Samidoun palestinian prisoner solidarity network,Hashtag,Directed,Joins
Samidoun palestinian prisoner solidarity network,#saveanhar,Directed,Joins
Samidoun palestinian prisoner solidarity network,Images,Directed,Uses
Samidoun palestinian prisoner solidarity network,Call,Directed,Posts
Samidoun palestinian prisoner solidarity network,Immediate release,Directed,Calls
Samidoun palestinian prisoner solidarity network,Supporters,Directed,Urges
Samidoun palestinian prisoner solidarity network,Justice,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Campaign,Directed,Urges
Samidoun palestinian prisoner solidarity network,#saveanhar,Directed,Urges
Samidoun palestinian prisoner solidarity network,Child,Directed,Urges
Samidoun palestinian prisoner solidarity network,Action,Directed,Urges
Samidoun palestinian prisoner solidarity network,Stand,Directed,Urges
Samidoun palestinian prisoner solidarity network,Anhar al-deek,Directed,Urges
Samidoun palestinian prisoner solidarity network,Freedom,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestinian women,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestinian children,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,River,Directed,Urges
Samidoun palestinian prisoner solidarity network,Sea,Directed,Urges
Samidoun palestinian prisoner solidarity network,Streets,Directed,Takes
Samidoun palestinian prisoner solidarity network,Actions,Directed,Joins
Samidoun palestinian prisoner solidarity network,New actions,Directed,Updates
Samidoun palestinian prisoner solidarity network,Actions,Directed,Announced
Samidoun palestinian prisoner solidarity network,Alkarama palestinian women's mobilization,Directed,Is joining with
Samidoun palestinian prisoner solidarity network,Solidarity with,Directed,Expresses
Samidoun palestinian prisoner solidarity network,Immediate release of haitham siyaj,Directed,Demands
Samidoun palestinian prisoner solidarity network,Palestine action,Directed,Joins with
Samidoun palestinian prisoner solidarity network,Freedom flotilla to gaza,Directed,Supports
Samidoun palestinian prisoner solidarity network,Call of the palestinian prisoners' movement,Directed,Emphasizes and amplifies
Samidoun palestinian prisoner solidarity network,Immediate release,Directed,Demands
Samidoun palestinian prisoner solidarity network,Statement,Directed,Republishes
Samidoun palestinian prisoner solidarity network,Collective call,Directed,Join
Samidoun palestinian prisoner solidarity network,People's movement and political prisoners of colombia,Directed,Expresses solidarity with
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,All friends of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Support,Directed,Expresses
Samidoun palestinian prisoner solidarity network,Rejection,Directed,Expresses
Samidoun palestinian prisoner solidarity network,Palestinian female prisoners,Directed,Stands in solidarity with
Samidoun palestinian prisoner solidarity network,Wet’suwet’en people,Directed,Expresses solidarity with
Samidoun palestinian prisoner solidarity network,International league of people's struggles,Directed,Is a member organization of
Samidoun palestinian prisoner solidarity network,Support,Directed,Expresses
Samidoun palestinian prisoner solidarity network,All who stand for justice in palestine,Directed,Calls on
Samidoun palestinian prisoner solidarity network,Campaign,Directed,Supports
Samidoun palestinian prisoner solidarity network,Al-awda,Directed,Organized by
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Organizing and struggle,Directed,Escalate
Samidoun palestinian prisoner solidarity network,Palestinian resistance,Directed,Support
Samidoun palestinian prisoner solidarity network,Over 230 organizations,Directed,Has joined with
Samidoun palestinian prisoner solidarity network,A network,Directed,Is
Samidoun palestinian prisoner solidarity network,Advocating for palestinian prisoners,Directed,Is
Samidoun palestinian prisoner solidarity network,Organizations,Directed,Urges
Samidoun palestinian prisoner solidarity network,Organizations,Directed,Urges
Samidoun palestinian prisoner solidarity network,Movement of palestinian women,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Press release,Directed,Shared
Samidoun palestinian prisoner solidarity network,A network,Directed,Is
Samidoun palestinian prisoner solidarity network,Palestinian prisoners,Directed,Supports
Samidoun palestinian prisoner solidarity network,Organizers and participants,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Joe catron,Directed,Is coordinator of
Samidoun palestinian prisoner solidarity network,Supporters,Directed,Urges
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,International league of people's struggle,Directed,Is affiliate of
Samidoun palestinian prisoner solidarity network,Statement,Directed,Is republishing
Samidoun palestinian prisoner solidarity network,International league of peoples' struggle,Directed,Is a member of
Samidoun palestinian prisoner solidarity network,International league of peoples' struggle,Directed,Is a member association of
Samidoun palestinian prisoner solidarity network,Ilps,Directed,Joins
Samidoun palestinian prisoner solidarity network,International league of peoples' struggle,Directed,Is a member of
Samidoun palestinian prisoner solidarity network,Palestinian journalists,Directed,Joins the call of
Samidoun palestinian prisoner solidarity network,Palestinian journalists for greater global solidarity,Directed,Joins the call of
Samidoun palestinian prisoner solidarity network,Palestinian journalists for greater global solidarity against the ongoing attacks of the israeli occupation,Directed,Joins the call of
Samidoun palestinian prisoner solidarity network,International week of action for palestinian prisoners,Directed,Organized
Samidoun palestinian prisoner solidarity network,Global activities,Directed,Participated in
Samidoun palestinian prisoner solidarity network,Solidarity with the palestinian resistance,Directed,Reaffirms its commitment to
Samidoun palestinian prisoner solidarity network,Solidarity with the palestinian prisoners,Directed,Reaffirms its commitment to
Samidoun palestinian prisoner solidarity network,Call,Directed,Welcomes
Samidoun palestinian prisoner solidarity network,Call to action,Directed,Is an endorser of
Samidoun palestinian prisoner solidarity network,Working class,Directed,Stands with
Samidoun palestinian prisoner solidarity network,A movement,Directed,Is
Samidoun palestinian prisoner solidarity network,Potential,Directed,Recognizes
Samidoun palestinian prisoner solidarity network,Union,Directed,Recognizes
Samidoun palestinian prisoner solidarity network,Collective work,Directed,Recognizes
Samidoun palestinian prisoner solidarity network,Network,Directed,Intends to build
Samidoun palestinian prisoner solidarity network,Front,Directed,Expands
Samidoun palestinian prisoner solidarity network,Responsible,Directed,Points out
Samidoun palestinian prisoner solidarity network,Common enemies,Directed,Points out
Samidoun palestinian prisoner solidarity network,Spanish state,Directed,Operates with impunity
Samidoun palestinian prisoner solidarity network,Palestine,Directed,Dispossession
Samidoun palestinian prisoner solidarity network,Call,Directed,Supports
Samidoun palestinian prisoner solidarity network,Urgency of global response,Directed,Emphasizes
Samidoun palestinian prisoner solidarity network,Attacks,Directed,Denounces
Samidoun palestinian prisoner solidarity network,Immediate release of layan nasir,Directed,Demands
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Democratic progressive student pole,Directed,Expresses solidarity with
Samidoun palestinian prisoner solidarity network,Organizers for justice and liberation in palestine,Directed,Join
Samidoun palestinian prisoner solidarity network,Call,Directed,Joins
Samidoun palestinian prisoner solidarity network,People of conscience,Directed,Urges
Samidoun palestinian prisoner solidarity network,Palestinian youth and student organizations,Directed,Supports
Samidoun palestinian prisoner solidarity network,Urgent need,Directed,Recognizes
Samidoun palestinian prisoner solidarity network,All to take action,Directed,Urges
Samidoun palestinian prisoner solidarity network,Many other organizations,Directed,Is joining with
Samidoun palestinian prisoner solidarity network,To join,Directed,Encourages
Samidoun palestinian prisoner solidarity network,To join us,Directed,Encourages
Samidoun palestinian prisoner solidarity network,To join the global struggle,Directed,Encourages
Samidoun palestinian prisoner solidarity network,To join the global struggle for,Directed,Encourages
Samidoun palestinian prisoner solidarity network,To join the global struggle for the palestinians right of return,Directed,Encourages
Samidoun palestinian prisoner solidarity network,To join the global struggle for the palestinians right of return by,Directed,Encourages
Samidoun palestinian prisoner solidarity network,To join the global struggle for the palestinians right of return by tweeting with the two hashtags,Directed,Encourages
Samidoun palestinian prisoner solidarity network,To join the global struggle for the palestinians right of return by tweeting with the two hashtags #nakbaday and #keytojustice,Directed,Encourages
Samidoun palestinian prisoner solidarity network,To join the global struggle for the palestinians right of return by posting a photo while you are holding a key of return,Directed,Encourages
Samidoun palestinian prisoner solidarity network,Palestinians and people around the world,Directed,Joins
Samidoun palestinian prisoner solidarity network,Alkarama palestinian women's mobilization,Directed,Is joining with
Samidoun palestinian prisoner solidarity network,Groups and activists,Directed,Will be joining
Samidoun palestinian prisoner solidarity network,Twitterstorm,Directed,Will be joining
Samidoun palestinian prisoner solidarity network,Social media campaign,Directed,Will be joining
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urge
Samidoun palestinian prisoner solidarity network,Statement,Directed,Is an endorser of
Samidoun palestinian prisoner solidarity network,A member of,Directed,Is
Samidoun palestinian prisoner solidarity network,Urgent release,Directed,Calls for
Samidoun palestinian prisoner solidarity network,International,Directed,Is
Samidoun palestinian prisoner solidarity network,Left,Directed,Is
Samidoun palestinian prisoner solidarity network,Solidarity with khader adnan in his hunger strike,Directed,Calls for
Samidoun palestinian prisoner solidarity network,A priority,Directed,Is
Samidoun palestinian prisoner solidarity network,Khalida jarrar,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Europe coordinator,Directed,Is
Samidoun palestinian prisoner solidarity network,Layan nasir,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Immediate release,Directed,Demands
Samidoun palestinian prisoner solidarity network,Call of the palestinian prisoners’ movement,Directed,Emphasizes and amplifies
Samidoun palestinian prisoner solidarity network,People of conscience and organizers for palestine and social justice,Directed,Urges
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Report,Directed,Is republishing
Samidoun palestinian prisoner solidarity network,Events,Directed,Participated in
Samidoun palestinian prisoner solidarity network,Rally,Directed,Organized
Samidoun palestinian prisoner solidarity network,American muslims for palestine,Directed,Is honoured to join
Samidoun palestinian prisoner solidarity network,Campaign to #sanctionisrael,Directed,Endorsing
Samidoun palestinian prisoner solidarity network,New chapter,Directed,Is excited to announce
Samidoun palestinian prisoner solidarity network,Signs and information,Directed,Gathered with
Samidoun palestinian prisoner solidarity network,The campaign to defund racism,Directed,Is the u.s. coordinator of
Samidoun palestinian prisoner solidarity network,Protest,Directed,Organized
Samidoun palestinian prisoner solidarity network,Coordinator,Directed,Spoke on behalf of
Samidoun palestinian prisoner solidarity network,People in new york and elsewhere to be part of the global great march of return on 5 june,Directed,Urging
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,Supporters of palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,A network,Directed,Is
Samidoun palestinian prisoner solidarity network,Against war and occupation,Directed,Is
Samidoun palestinian prisoner solidarity network,International campaign,Directed,Stands with
Samidoun palestinian prisoner solidarity network,Progressive forces,Directed,Stands with
Samidoun palestinian prisoner solidarity network,Rejection,Directed,Expresses
Samidoun palestinian prisoner solidarity network,Call,Directed,Is an endorser of
Samidoun palestinian prisoner solidarity network,Palestinian workers,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Revolutionary prisoners,Directed,Expresses solidarity with
Samidoun palestinian prisoner solidarity network,Freedom of political prisoners,Directed,Calls for
Samidoun palestinian prisoner solidarity network,Fight,Directed,Emphasizes
Samidoun palestinian prisoner solidarity network,Critical moment,Directed,Emphasizes
Samidoun palestinian prisoner solidarity network,Living memory and legacy,Directed,Recalls
Samidoun palestinian prisoner solidarity network,Struggle,Directed,Pledges to continue
Samidoun palestinian prisoner solidarity network,Comrades in gothenburg,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Fundraiser,Directed,Supports
Samidoun palestinian prisoner solidarity network,Fundraiser,Directed,Supports
Samidoun palestinian prisoner solidarity network,International coalition for human rights in the philippines,Directed,Joined with
Samidoun palestinian prisoner solidarity network,170 organizations and individuals,Directed,Joined with
Samidoun palestinian prisoner solidarity network,Letter,Directed,Signed on to
Samidoun palestinian prisoner solidarity network,Palestinian prisoners,Directed,Defended
Samidoun palestinian prisoner solidarity network,Defend,Directed,Work
Samidoun palestinian prisoner solidarity network,Support,Directed,Trying to gin up
Samidoun palestinian prisoner solidarity network,Samidoun's work,Directed,Smearing
Samidoun palestinian prisoner solidarity network,A network,Directed,Is
Samidoun palestinian prisoner solidarity network,Human rights,Directed,Advocates for
Samidoun palestinian prisoner solidarity network,Call to progressive organizations,Directed,Is one of the signatories of
Samidoun palestinian prisoner solidarity network,A network,Directed,Is
Samidoun palestinian prisoner solidarity network,In solidarity with,Directed,Is
Samidoun palestinian prisoner solidarity network,A network,Directed,Is
Samidoun palestinian prisoner solidarity network,Open letter,Directed,Is an endorser of
Samidoun palestinian prisoner solidarity network,Comprehensive two-way arms embargo on israel,Directed,Calls for
Samidoun palestinian prisoner solidarity network,A network,Directed,Is
Samidoun palestinian prisoner solidarity network,Advocating for palestinian prisoners,Directed,Is
Samidoun palestinian prisoner solidarity network,Movement against sanctions on gaza,Directed,Expresses support for
Samidoun palestinian prisoner solidarity network,Movement against sanctions on gaza,Directed,Expresses support for
Samidoun palestinian prisoner solidarity network,Statement,Directed,Is an endorser of
Samidoun palestinian prisoner solidarity network,Immediate release,Directed,Demands
Samidoun palestinian prisoner solidarity network,Supporters of justice and liberation in palestine,Directed,Urges
Samidoun palestinian prisoner solidarity network,A network,Directed,Is
Samidoun palestinian prisoner solidarity network,Palestinian prisoners,Directed,Supports
Samidoun palestinian prisoner solidarity network,Resource,Directed,Launches
Samidoun palestinian prisoner solidarity network,Leading role,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Support,Directed,Expresses
Samidoun palestinian prisoner solidarity network,Immediate release,Directed,Demands
Samidoun palestinian prisoner solidarity network,Salutes and greetings,Directed,Expresses
Samidoun palestinian prisoner solidarity network,Palestinian prisoners,Directed,Expresses solidarity with
Samidoun palestinian prisoner solidarity network,Mohammed abu aker,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Mustafa hassanat,Directed,Salutes
Samidoun palestinian prisoner solidarity network,Supporters and friends,Directed,Urges
Samidoun palestinian prisoner solidarity network,People taking to the streets,Directed,Urges
